topic_num,size,top_words,sample_comments,docket_id
-1,48,"food, of, allergens, to, major, is, and","Hello TTB. i think that on belhalf of all the allergic people of america, they shouldnt have to gamble with their alchohol when they want to drink. drunk people especially do not know what they are drinking and run the major risk of allergy attacks. this way drunk people can take a step bac and read the label and say: ""finally, a wine that has no eggs in it! i have been looking all over for s ||| The Alcohol and Tobacco Tax and Trade Bureau (TTB) should require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB's regulatory authority under the Federal Alcohol Administration Act with no exceptions. Not disclosing all major food allergens used in the production of alcohol beverages is dangerous and exceeds misinformation ||| The Alcohol and Tobacco Tax and Trade Bureau (TTB) should require a labeling disclosure of all major food allergens used in the production of alcohol beverages subject to TTB's regulatory authority under the Federal Alcohol Administration Act with no exceptions. Not disclosing all major food allergens used in the production of alcohol beverages is dangerous and exceeds misinformation. Competit",TTB-2025-0003
0,34,"allergy, ingredients, not, alcoholic, can, beverages, allergens","Please add food allergy labels to wine, spirits, and malt beverages as it is a safety concern to those who have food allergies and to businesses that serve alcohol. It is nearly impossible to determine if these items contain a food allergen. I have a son who has a food allergy and am concerned without labeling, this is a very possible cause of anaphylaxis for him. Anaphylaxis can result in death a ||| and rely on labeling to determine which products are safe to consume. This information is not required on alcoholic beverages, but many alcoholic beverages do contain major allergens, such as wheat in many beers, milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. Currently, consumers with food allergies have no way of knowing if they can safely consume alc ||| and rely on labeling to determine which products are safe to consume. This information is not required on alcoholic beverages, but many alcoholic beverages do contain major allergens, such as wheat in many beers, milk and nuts in liqueurs, and even fish and eggs used as processing aids in wine. Currently, consumers with food allergies have no way of knowing if they can safely consume alc",TTB-2025-0003
1,25,"wine, wineries, fining, agents, finished, not, small","Process Transparency – Many small wineries rely on third-party suppliers for certain additives (like fining agents). If these contain allergens, wineries will need to obtain and verify detailed ingredient documentation, which may not always be straightforward. Potential for Consumer Confusion – If wineries are required to disclose allergens even when they are only used in proc ||| we believe that adding allergen information for primary ingredients would be beneficial to consumers, we do not think that including allergen information for fining agents on our back labels would enhance consumer health and safety. Fining agents pose a very low risk of reaction (Peñas et al., 2015; Vassilopoulou et al., 2011; Wüthrich, 2018), and most wine intolerances are due to sulf ||| we believe that adding allergen information for primary ingredients would be beneficial to consumers, we do not think that including allergen information for fining agents on our back labels would enhance consumer health and safety. Fining agents pose a very low risk of reaction (Peñas et al., 2015; Vassilopoulou et al., 2011; Wüthrich, 2018), and most wine intolerances are due to sulf",TTB-2025-0003
2,22,", parvalbumin, residual, isinglass, consumptionbrbullspan, confirms, limitsbrbullspan","=' : '> Clinical trials (including double-blind placebo-controlled oral challenges) show no allergic reactions in fish-sensitive individuals, even at doses equivalent to extreme beer consumption. • Manufacturing protocols have been optimized to minimize residual parvalbumin, the primary fish allergen, in commercial isinglass ||| =' : '> Clinical trials (including double-blind placebo-controlled oral challenges) show no allergic reactions in fish-sensitive individuals, even at doses equivalent to extreme beer consumption. • Manufacturing protocols have been optimized to minimize residual parvalbumin, the primary fish allergen, in commercial isinglass ||| =' : '> Clinical trials (including double-blind placebo-controlled oral challenges) show no allergic reactions in fish-sensitive individuals, even at doses equivalent to extreme beer consumption. • Manufacturing protocols have been optimized to minimize residual parvalbumin, the primary fish allergen, in commercial isinglass",TTB-2025-0003
3,21,"calorie, calories, nutritional, according, labels, were, simultaneously","average by 47%, while simultaneously underreporting their physical activity by 51% [3]. Through this, one can draw the conclusion that nutritional labeling is either not being read or not being understood correctly. To further this, as a college student, many of us tend to miscount or disregard calorie intake as a whole, particularly discounting alcoholic beverages when it comes to calories. I mys ||| average by 47%, while simultaneously underreporting their physical activity by 51% [3]. Through this, one can draw the conclusion that nutritional labeling is either not being read or not being understood correctly. To further this, as a college student, many of us tend to miscount or disregard calorie intake as a whole, particularly discounting alcoholic beverages when it comes to calories. I mys ||| average by 47%, while simultaneously underreporting their physical activity by 51% [3]. Through this, one can draw the conclusion that nutritional labeling is either not being read or not being understood correctly. To further this, as a college student, many of us tend to miscount or disregard calorie intake as a whole, particularly discounting alcoholic beverages when it comes to calories. I mys",TTB-2025-0003
4,20,"includebrbrbullspan, sedimentation, fishallergic, individualsbrbrkey, centuries, demonstrating, analytical","a purified collagen derived from the swim bladders of select tropical and subtropical fish species. It has been used for centuries in brewing to clarify beer, and is removed from the final product through filtration or sedimentation. The petition presents comprehensive scientific, analytical, and clinical evidence demonstrating that isinglass does not pose an allergenic risk to fish-allergic indiv ||| a purified collagen derived from the swim bladders of select tropical and subtropical fish species. It has been used for centuries in brewing to clarify beer, and is removed from the final product through filtration or sedimentation. The petition presents comprehensive scientific, analytical, and clinical evidence demonstrating that isinglass does not pose an allergenic risk to fish-allergic indiv ||| a purified collagen derived from the swim bladders of select tropical and subtropical fish species. It has been used for centuries in brewing to clarify beer, and is removed from the final product through filtration or sedimentation. The petition presents comprehensive scientific, analytical, and clinical evidence demonstrating that isinglass does not pose an allergenic risk to fish-allergic indiv",TTB-2025-0003
5,20,"403w1, fdampc, section, exemption, labelling, act, petition","Petition for Exemption of Isinglass from Allergen Labelling under Section 403(w)(1) of the FD&C Act This petition, submitted by the Brewing, Food and Beverage Industry Suppliers' Association (BFBi), seeks an exemption from the allergen labelling requirements of Section 403(w)(1) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) for isinglass when used as a fining/clarific ||| Petition for Exemption of Isinglass from Allergen Labelling under Section 403(w)(1) of the FD&C Act This petition, submitted by the Brewing, Food and Beverage Industry Suppliers' Association (BFBi), seeks an exemption from the allergen labelling requirements of Section 403(w)(1) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) for isinglass when used as a fining/clarific ||| Petition for Exemption of Isinglass from Allergen Labelling under Section 403(w)(1) of the FD&C Act This petition, submitted by the Brewing, Food and Beverage Industry Suppliers' Association (BFBi), seeks an exemption from the allergen labelling requirements of Section 403(w)(1) of the Federal Food, Drug, and Cosmetic Act (FD&C Act) for isinglass when used as a fining/clarific",TTB-2025-0003
6,20,"regulatory, allergic, isinglassfined, winebrbrthe, searches, consensusbr, concludes","=' : '> International regulatory bodies (EFSA, FSANZ, Health Canada) have granted similar exemptions based on comparable evidence. • Literature reviews and updated searches found no documented cases of allergic reactions to isinglass in beer or wine. The petition concludes that isinglass-fined beer does not elicit a ||| =' : '> International regulatory bodies (EFSA, FSANZ, Health Canada) have granted similar exemptions based on comparable evidence. • Literature reviews and updated searches found no documented cases of allergic reactions to isinglass in beer or wine. The petition concludes that isinglass-fined beer does not elicit a ||| =' : '> International regulatory bodies (EFSA, FSANZ, Health Canada) have granted similar exemptions based on comparable evidence. • Literature reviews and updated searches found no documented cases of allergic reactions to isinglass in beer or wine. The petition concludes that isinglass-fined beer does not elicit a",TTB-2025-0003
8,18,"files, see, attached,, ,",See attached file(s) ||| See attached file(s) ||| See attached file(s),TTB-2025-0003
7,18,"would, enhance, consumer, alcohol, report, regulations, ingredient","that the TTB is well-positioned to address. Implementing such regulations would not only enhance consumer awareness but also foster trust in alcohol brands that prioritize transparency and safety. Lastly, the proposed regulations align with the TTB's mission to protect public health and well-being. By establishing uniform ingredient labeling requirements, the TTB would not only fulfi ||| that the TTB is well-positioned to address. Implementing such regulations would not only enhance consumer awareness but also foster trust in alcohol brands that prioritize transparency and safety. Lastly, the proposed regulations align with the TTB's mission to protect public health and well-being. By establishing uniform ingredient labeling requirements, the TTB would not only fulfi ||| that the TTB is well-positioned to address. Implementing such regulations would not only enhance consumer awareness but also foster trust in alcohol brands that prioritize transparency and safety. Lastly, the proposed regulations align with the TTB's mission to protect public health and well-being. By establishing uniform ingredient labeling requirements, the TTB would not only fulfi",TTB-2025-0003
